"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"132,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"133,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"134,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"135,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"136,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"137,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"138,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"139,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"140,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"141,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"142,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"143,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"144,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"145,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"146,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"147,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"148,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"149,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"150,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"151,""7.762850"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"152,""7.763403"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"153,""7.763558"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"154,""7.763941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"155,""7.763941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"156,""7.763941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"157,""7.763941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"158,""7.763941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"159,""7.763941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"160,""7.769257"",""192.168.43.122"",""114.125.240.14"",""UDP"",""76"",""56769  >  443 Len=34"""
"161,""7.770747"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"162,""7.771719"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"163,""7.771719"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"164,""7.771719"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"165,""7.771719"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"166,""7.771719"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"167,""7.771719"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"168,""7.772564"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"169,""7.773941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"170,""7.773941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"171,""7.773941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"172,""7.773941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"173,""7.773941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"174,""7.773941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"175,""7.773941"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"176,""7.774277"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"177,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"178,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"179,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"180,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"181,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"182,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"183,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"184,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"185,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"186,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"187,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"188,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"189,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"190,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
